"geneID","PH6WC_XY335","PH4CVvsXY335","PH4CVvsPH6WC","RIL335"
"ZeamMp007",0,0,0,1
"ZeamMp024",0,0,0,1
"ZeamMp028",0,0,1,1
"ZeamMp030",0,0,0,1
"ZeamMp032",0,0,1,0
"ZeamMp044",0,0,0,1
"ZeamMp049",1,0,1,1
"ZeamMp051",0,0,0,1
"ZeamMp062",0,0,1,1
"ZeamMp073",0,0,0,1
"ZeamMp092",1,0,0,0
"ZeamMp093",1,0,0,0
"ZeamMp119",0,0,0,1
"ZeamMp134",1,0,1,1
"ZeamMp158",0,0,0,1
"ZeamMp161",0,0,0,1
"ZeamMp163",0,0,1,0
"ZeamMp176",0,0,1,0
"ZeamMp185",0,0,0,1
"ZeamMr003",0,0,0,1
"ZemaCp018",1,0,0,0
"ZemaCp024",0,0,0,1
"ZemaCp032",1,0,1,1
"ZemaCp043",1,0,0,0
"ZemaCp045",0,0,0,1
"ZemaCp055",0,1,0,0
"ZemaCp060",0,0,1,0
"ZemaCp083",1,1,0,0
"ZemaCp085",1,0,1,0
"ZemaCp086",1,0,0,0
"ZemaCp087",0,0,0,1
"ZemaCp092",0,0,0,1
"ZemaCp100",0,0,0,1
"ZemaCr119",1,0,0,0
"Zm00001d000001",0,0,1,0
"Zm00001d000002",0,0,0,1
"Zm00001d000006",0,0,0,1
"Zm00001d000011",0,0,1,1
"Zm00001d000012",1,0,1,0
"Zm00001d000016",0,0,0,1
"Zm00001d000017",1,0,0,1
"Zm00001d000018",1,0,1,0
"Zm00001d000021",1,0,0,0
"Zm00001d000027",0,0,0,1
"Zm00001d000029",0,0,0,1
"Zm00001d000034",0,0,0,1
"Zm00001d000035",0,1,1,1
"Zm00001d000039",0,1,0,1
"Zm00001d000060",1,1,0,0
"Zm00001d000066",0,1,1,1
"Zm00001d000067",0,0,0,1
"Zm00001d000070",0,0,0,1
"Zm00001d000071",0,1,0,0
"Zm00001d000072",1,0,0,0
"Zm00001d000074",0,1,0,0
"Zm00001d000081",0,0,0,1
"Zm00001d000086",0,0,1,1
"Zm00001d000092",0,0,0,1
"Zm00001d000093",0,1,1,0
"Zm00001d000099",1,0,0,0
"Zm00001d000110",0,0,0,1
"Zm00001d000112",1,0,0,1
"Zm00001d000116",0,1,0,0
"Zm00001d000117",0,0,0,1
"Zm00001d000120",0,1,0,0
"Zm00001d000126",0,0,0,1
"Zm00001d000133",1,0,0,0
"Zm00001d000137",0,1,1,1
"Zm00001d000143",0,0,0,1
"Zm00001d000150",1,0,0,0
"Zm00001d000158",0,1,0,0
"Zm00001d000160",0,0,0,1
"Zm00001d000164",0,1,0,0
"Zm00001d000165",0,0,0,1
"Zm00001d000166",0,0,0,1
"Zm00001d000169",0,0,1,0
"Zm00001d000170",0,0,0,1
"Zm00001d000175",1,0,1,0
"Zm00001d000178",0,0,0,1
"Zm00001d000184",0,1,1,0
"Zm00001d000195",1,0,1,0
"Zm00001d000196",1,0,1,0
"Zm00001d000203",0,0,0,1
"Zm00001d000205",1,1,0,1
"Zm00001d000213",0,1,1,0
"Zm00001d000216",1,0,1,1
"Zm00001d000224",0,1,0,0
"Zm00001d000228",0,1,1,0
"Zm00001d000233",0,0,0,1
"Zm00001d000236",1,0,1,1
"Zm00001d000237",0,0,0,1
"Zm00001d000238",0,0,0,1
"Zm00001d000240",1,0,0,0
"Zm00001d000241",0,0,0,1
"Zm00001d000255",1,1,1,0
"Zm00001d000257",0,1,0,0
"Zm00001d000288",0,0,1,0
"Zm00001d000293",1,1,1,0
"Zm00001d000294",1,1,0,0
"Zm00001d000296",0,1,1,0
"Zm00001d000298",1,1,1,1
"Zm00001d000299",1,1,0,0
"Zm00001d000304",0,0,0,1
"Zm00001d000316",0,0,0,1
"Zm00001d000327",1,0,1,0
"Zm00001d000328",0,0,0,1
"Zm00001d000345",0,1,0,0
"Zm00001d000346",0,0,0,1
"Zm00001d000357",1,0,1,1
"Zm00001d000364",1,0,1,0
